Date,SP500_1_ahead,SP500_Adj_Close,summed_sentiment,target
2008-01-02,144.86,144.93,0.0,-0.0004831084672449748
2008-01-03,141.31,144.86,0.0,-0.024811700172524986
2008-01-07,138.91,141.19,0.0,-0.016280259612136305
2008-01-09,141.29,140.37,-0.6499999999999999,0.006532722231482602
2008-01-10,140.15,141.29,0.0,-0.008101238166919877
2008-01-22,133.86,130.72,-0.175,0.023736846560803215
2008-01-29,134.91,135.91,0.0,-0.007385012516530232
2008-01-30,137.37,134.91,0.0,0.018070125886388233
2008-02-01,137.82,139.58,0.0,-0.012689427659943853
2008-02-05,133.05,134.13,-0.19999999999999998,-0.008084481490301165
2008-02-11,134.99,133.75,-0.3,0.009228315844620028
2008-02-21,135.62,134.79,-0.6,0.00613884550551802
2008-02-22,137.33,135.62,-0.3,0.012529931286494822
2008-02-28,133.82,136.87,0.0,-0.02253595686850396
2008-02-29,133.5,133.82,-1.2,-0.0023941355143666243
2008-03-05,131.06,133.83,-0.6,-0.020915104196932433
2008-03-07,128.0,129.71,-0.3,-0.013270925432965264
2008-03-10,132.6,128.0,-0.6,0.03530681383214507
2008-03-11,131.36,132.6,0.0,-0.009395432047643482
2008-03-18,130.32,133.63,0.0,-0.025081822499180007
2008-03-27,131.51,132.78,0.0,-0.009610728937140323
2008-04-02,137.04,136.7,-0.6,0.0024841102859598507
2008-04-07,136.82,136.96,-0.6,-0.0010227190605798242
2008-04-16,137.05,136.85,-0.6499999999999999,0.0014603872621066216
2008-04-22,137.72,137.94,0.0,-0.0015961695328226
2008-04-23,138.32,137.72,0.0,0.004347202904712688
2008-04-24,139.6,138.32,0.0,0.009211348953236609
2008-04-25,139.63,139.6,-0.6,0.00021487662583119516
2008-05-05,142.05,140.83,0.0,0.008625619090238068
2008-05-06,139.52,142.05,0.0,-0.017971148139527493
2008-05-07,139.16,139.52,0.0,-0.0025836098769280724
2008-05-08,138.9,139.16,-1.2999999999999998,-0.0018701005234431634
2008-05-12,140.48,140.46,-0.6333333333333333,0.0001423791559318488
2008-05-16,143.05,142.66,-0.6,0.0027300426462275595
2008-05-21,139.51,139.49,0.0,0.00014336917587254305
2008-05-23,138.66,137.64,-0.6,0.007383312585065305
2008-05-27,139.3,138.66,-0.6,0.0046049872714153395
2008-05-29,140.35,140.0,-0.3,0.0024968801985876254
2008-06-02,138.09,138.9,-0.6,-0.0058486032630380436
2008-06-04,140.78,138.02,-0.6,0.019799785987529184
2008-06-05,136.29,140.78,0.0,-0.03241341974056411
2008-06-09,135.94,136.62,-0.3,-0.004989737385210802
2008-06-13,136.23,136.15,-0.7,0.0005874146582005579
2008-06-20,131.45,131.58,-0.6,-0.000988480481961318
