Date,sent_avg,SP500_1_ahead,SP500_Adj_Close,target
2008-01-02,0.0,144.86,144.93,-0.0004831084672449748
2008-01-03,0.0,141.31,144.86,-0.024811700172524986
2008-01-07,0.0,138.91,141.19,-0.016280259612136305
2008-01-09,-0.02727272727272727,141.29,140.37,0.006532722231482602
2008-01-10,0.0,140.15,141.29,-0.008101238166919877
2008-01-22,-0.021875,133.86,130.72,0.023736846560803215
2008-01-29,0.0,134.91,135.91,-0.007385012516530232
2008-01-30,0.0,137.37,134.91,0.018070125886388233
2008-02-01,0.0,137.82,139.58,-0.012689427659943853
2008-02-05,-0.03333333333333333,133.05,134.13,-0.008084481490301165
2008-02-11,-0.02727272727272727,134.99,133.75,0.009228315844620028
2008-02-21,-0.08571428571428572,135.62,134.79,0.00613884550551802
2008-02-22,-0.024999999999999998,137.33,135.62,0.012529931286494822
2008-02-28,0.0,133.82,136.87,-0.02253595686850396
2008-02-29,-0.10909090909090909,133.5,133.82,-0.0023941355143666243
2008-03-05,-0.075,131.06,133.83,-0.020915104196932433
2008-03-07,-0.023076923076923075,128.0,129.71,-0.013270925432965264
2008-03-10,-0.06666666666666667,132.6,128.0,0.03530681383214507
2008-03-11,0.0,131.36,132.6,-0.009395432047643482
2008-03-18,0.0,130.32,133.63,-0.025081822499180007
2008-03-27,0.0,131.51,132.78,-0.009610728937140323
2008-04-02,-0.06,137.04,136.7,0.0024841102859598507
2008-04-07,-0.075,136.82,136.96,-0.0010227190605798242
2008-04-16,-0.08124999999999999,137.05,136.85,0.0014603872621066216
2008-04-22,0.0,137.72,137.94,-0.0015961695328226
2008-04-23,0.0,138.32,137.72,0.004347202904712688
2008-04-24,0.0,139.6,138.32,0.009211348953236609
2008-04-25,-0.075,139.63,139.6,0.00021487662583119516
2008-05-05,0.0,142.05,140.83,0.008625619090238068
2008-05-06,0.0,139.52,142.05,-0.017971148139527493
2008-05-07,0.0,139.16,139.52,-0.0025836098769280724
2008-05-08,-0.2111111111111111,138.9,139.16,-0.0018701005234431634
2008-05-12,-0.07083333333333332,140.48,140.46,0.0001423791559318488
2008-05-16,-0.06,143.05,142.66,0.0027300426462275595
2008-05-21,0.0,139.51,139.49,0.00014336917587254305
2008-05-23,-0.12,138.66,137.64,0.007383312585065305
2008-05-27,-0.09999999999999999,139.3,138.66,0.0046049872714153395
2008-05-29,-0.0375,140.35,140.0,0.0024968801985876254
2008-06-02,-0.05454545454545454,138.09,138.9,-0.0058486032630380436
2008-06-04,-0.06333333333333332,140.78,138.02,0.019799785987529184
2008-06-05,0.0,136.29,140.78,-0.03241341974056411
2008-06-09,-0.023076923076923075,135.94,136.62,-0.004989737385210802
2008-06-13,-0.05833333333333333,136.23,136.15,0.0005874146582005579
2008-06-20,-0.05454545454545454,131.45,131.58,-0.000988480481961318
2008-06-24,-0.049999999999999996,131.81,131.19,0.004714837631435209
2008-07-01,0.0,126.18,128.38,-0.017285156940967994
2008-07-02,-0.02727272727272727,126.31,126.18,0.0010297438432198547
2008-07-07,-0.06666666666666667,127.24,125.02,0.01760134237727673
2008-07-09,-0.09999999999999999,125.3,124.79,0.004078537382259384
2008-07-14,-0.09999999999999999,120.99,122.72,-0.014197440065559341
2008-07-23,-0.05454545454545454,125.51,128.17,-0.020972071069377485
2008-07-29,0.0,128.53,126.28,0.01766067643224911
2008-07-31,0.0,126.16,126.83,-0.005296664424554898
2008-08-01,0.0,124.99,126.16,-0.009317208552652723
2008-08-04,-0.075,128.36,124.99,0.02660508213952628
2008-08-08,0.0,130.71,129.37,0.010304612867650498
2008-08-13,-0.06666666666666667,129.54,128.57,0.007516210658613964
2008-08-14,0.0,130.17,129.54,0.0048515747235979845
2008-08-19,0.0,127.58,126.99,0.00463527561286714
2008-08-26,-0.06666666666666667,128.63,127.39,0.009686818968928534
2008-08-27,-0.0375,130.19,128.63,0.012054855818681709
2008-08-28,0.06,128.79,130.19,-0.0108117510047272
2008-09-03,0.0,124.03,127.88,-0.030568852364402765
2008-09-09,0.0,123.72,123.22,0.004049572230444554
2008-09-10,0.0,125.51,123.72,0.014364488855485469
2008-09-11,0.0,126.09,125.51,0.004610501012780155
2008-09-15,0.0,122.1,120.09,0.016598919444066773
2008-09-16,-0.03,116.61,122.1,-0.04600534758441732
2008-09-17,0.0,120.07,116.61,0.02923987251038529
2008-09-19,0.049999999999999996,121.31,124.12,-0.022899586797350935
2008-09-24,-0.06999999999999999,120.79,118.93,0.015518415878032599
2008-09-26,0.0,111.38,120.85,-0.08160232898796949
2008-09-29,-0.025925925925925925,115.99,111.38,0.040556202332262536
2008-10-01,0.0,111.85,116.06,-0.0369486108263235
2008-10-06,0.0,100.03,104.72,-0.04581998060455561
2008-10-07,-0.04,97.51,100.03,-0.0255152041500617
2008-10-13,0.0,99.85,101.35,-0.014910813036185466
2008-10-15,0.0,93.77,90.02,0.0408131075667475
2008-10-17,-0.05,98.81,93.21,0.0583438021338063
2008-10-20,0.0,95.86,98.81,-0.03031002047538678
2008-10-21,0.0,90.64,95.86,-0.05599317701173412
2008-10-23,-0.13737373737373737,87.04,91.69,-0.052045538954176074
2008-10-24,-0.09285714285714286,83.95,87.04,-0.03614639958408272
2008-10-29,0.0,96.3,93.08,0.034008980369988784
2008-10-30,-0.06666666666666667,96.83,96.3,0.005488544819360008
2008-11-03,0.0,100.41000000000001,97.11,0.03341744728508189
2008-11-04,0.0,96.19,100.41,-0.04293640172682078
2008-11-05,-0.049999999999999996,90.86,96.19,-0.05700554183326645
2008-11-07,0.0,92.63,93.86,-0.013191247100334813
2008-11-10,0.0,89.77,92.63,-0.03136221949733908
2008-11-11,-0.06,85.82,89.77,-0.044998764205218755
2008-11-17,-0.09,87.08,85.47,0.018661799188420147
2008-11-21,0.0,85.03,79.52,0.06699557304938253
2008-11-24,0.0,85.66,85.03,0.007381836789523533
2008-11-26,-0.05454545454545454,90.09,88.97,0.01250993640667275
2008-12-01,-0.09999999999999999,85.27,82.11,0.03776288103326042
2008-12-02,0.0,87.32,85.27,0.023756838927785573
2008-12-03,0.0,85.3,87.32,-0.023405077184110112
2008-12-04,-0.12,87.93,85.3,0.030366588893277147
2008-12-09,0.0,90.11,89.5,0.006792520966136806
2008-12-11,-0.02142857142857143,88.99,87.94,0.011869240116107349
2008-12-17,-0.18,89.29,90.99,-0.018860110839474586
2008-12-18,0.0,88.19,89.29,-0.012395921629035911
2008-12-24,0.0,87.16,86.66,0.005753093764655937
2008-12-30,-0.06999999999999999,90.24,88.97,0.014173553493073143
2008-12-31,0.0,92.96,90.24,0.0296965053538516
2009-01-07,-0.05454545454545454,91.042,90.67,0.00409439684430879
2009-01-08,-0.05454545454545454,89.09,91.042,-0.02167384376972148
2009-01-12,0.0,87.11,86.95,0.0018384470305088385
2009-01-20,0.0,84.05,80.57,0.04228548806552013
2009-01-21,-0.05454545454545454,82.75,84.05,-0.015587845597452521
2009-01-23,0.0,83.68,83.11,0.0068349687516784385
2009-01-28,0.0,84.55,87.39,-0.03303778429486304
2009-01-30,0.0,82.58,82.83,-0.003022794152228059
2009-02-02,-0.049999999999999996,83.74,82.58,0.013949240133053209
2009-02-09,-0.06,83.11,87.1,-0.04689185229352244
2009-02-17,-0.06,79.03,79.22,-0.00240126497688653
2009-02-18,-0.06666666666666667,78.181,79.03,-0.010800875938739907
2009-02-23,-0.3,77.48,74.65,0.03720931455359633
2009-02-25,0.0,75.62,76.872,-0.016420902512179758
2009-03-02,0.0,70.07,70.6,-0.007535402116753964
2009-03-03,0.0,71.73,70.07,0.023414327755901354
2009-03-04,-0.19999999999999998,68.8,71.73,-0.041705325199045795
2009-03-05,-0.13999999999999999,68.92,68.8,0.0017426667204309965
2009-03-09,-0.06,72.17,68.11,0.05790040183095524
2009-03-13,0.0,75.86,76.09,-0.003027313927678854
2009-03-18,0.0,78.94,79.93,-0.012463181403226109
2009-03-26,0.0,81.61,83.11,-0.01821322808378323
2009-04-06,-0.03333333333333333,81.65,83.6,-0.02360170067418199
2009-04-13,0.0,84.35,85.83,-0.017393786738151285
2009-04-17,-0.06666666666666667,83.43,87.08,-0.04281927945236319
2009-04-28,-0.16249999999999998,87.39,85.57,0.02104610520948924
2009-04-30,0.0,87.89,87.42,0.0053619431413851615
2009-05-07,-0.12,92.98,90.86,0.02306455593118173
2009-05-11,0.0,90.97,91.24,-0.0029636155822165833
2009-05-29,-0.08571428571428572,94.77,92.53,0.023919987221164618
2009-06-01,-0.04285714285714286,94.85,94.77,0.0008437928989195598
2009-06-05,0.0,94.16,94.55,-0.00413333215244549
2009-06-11,0.0,94.38,94.82,-0.004651171175731328
2009-06-17,0.0,92.219,91.55,0.007280911964460124
2009-06-19,0.0,89.28,92.04,-0.03044576653416442
2009-06-24,0.0,92.08,90.118,0.02153784172788953
2009-07-01,0.0,89.81,92.33,-0.02767278810167806
2009-07-02,-0.08571428571428572,89.8,89.81,-0.00011135237470405457
2009-07-08,-0.06,88.17,88.0,0.0019299546207287577
2009-07-09,0.0,87.96,88.17,-0.0023846034123753412
2009-07-13,0.0,90.61,90.102,0.005622220307770931
2009-07-31,0.0,100.44,98.81,0.016361720082512576
2009-08-05,-0.04615384615384615,99.89,100.41,-0.005192223347286529
2009-08-07,-0.08571428571428572,100.99,101.202,-0.00209701746546731
2009-08-11,-0.09999999999999999,100.8,99.73,0.010671821223491307
2009-08-13,0.0,100.79,101.57,-0.007709071584622862
2009-08-14,0.0,98.31,100.79,-0.02491339298795392
2009-08-19,0.0,100.99,99.96,0.010251396071714325
2009-08-31,-0.08571428571428572,100.2,102.46,-0.022304289860292315
2009-09-01,-0.08571428571428572,99.82,100.2,-0.0037996246093010555
2009-09-02,0.0,100.65,99.82,0.008280588044337733
2009-09-08,0.0,103.73,102.94,0.007645075219127939
2009-09-09,-0.13333333333333333,104.79,103.73,0.01016697804311395
2009-09-10,-0.06999999999999999,104.77,104.79,-0.0001908761219766575
2009-09-11,-0.03888888888888889,105.28,104.77,0.0048559962121332845
2009-09-14,0.0,105.72,105.28,0.004170622159080928
2009-09-16,0.0,107.16,107.32,-0.001491980881015209
2009-09-18,-0.06666666666666667,106.45,106.72,-0.0025331908278243276
2009-09-22,0.0,106.18,107.07,-0.008347059014653269
2009-09-23,0.0,105.01,106.18,-0.01108018343762307
2009-09-25,0.0,106.32,104.45,0.01774492640241565
