Date,SP500_Adj_Close,SP500_1_day_return_forward,time_in_days,days_elapsed,log_SP500_Adj_Close,which_split,prior_estimated_log_fair_value,prior_estimated_ou_exponent,posterior_estimated_log_fair_value,posterior_estimated_ou_exponent,prior_variance_log_fair_value,prior_variance_ou_exponent,prior_covariance_log_fair_value_ou_exponent
2008-01-02,144.93,-0.0004829917891395,0,,4.976250867234425,train,4.976250867234425,0.0,4.97545583289198,0.0007950343424454331,-1.0,-1.0,-1.0
2008-01-03,144.86,-0.0245064199917162,1,1.0,4.97576775876718,train,4.975613117218018,0.0007188122253865004,4.975269794464111,0.000497858040034771,0.30449411273002625,0.24465946853160858,-0.13646158576011658
2008-01-07,141.19,-0.0161484524399745,5,4.0,4.950106501021434,train,4.975898265838623,0.0003326777368783951,4.922471046447754,0.027635468170046806,0.22345022857189178,0.09055305272340775,-0.13549868762493134
2008-01-09,140.37,0.0065541070029206,7,2.0,4.944281793546234,train,4.92278528213501,0.022590506821870804,4.921084403991699,0.023197069764137268,0.05416582524776459,0.02926037274301052,-0.03580725938081741
2008-01-10,141.29,-0.0080685115719441,8,1.0,4.950814515777717,train,4.921241760253906,0.020973103120923042,4.933402061462402,0.017412595450878143,0.030924424529075623,0.02102910354733467,-0.02327023819088936
2008-01-22,130.72,0.0240208078335375,20,12.0,4.873057631111693,train,4.9352874755859375,0.005195390433073044,4.863644599914551,0.009413219057023525,0.08361497521400452,0.002171961357817054,-0.0067001529969275
2008-01-29,135.91,-0.00735781031565,27,7.0,4.911992901967256,train,4.864744663238525,0.004648845177143812,4.908109188079834,0.003883902681991458,0.03893838822841644,0.0007780938176438212,-0.001439564861357212
2008-01-30,134.91,0.0182343784745386,28,1.0,4.904607889450726,train,4.908266544342041,0.003511542221531272,4.900977611541748,0.0036301673389971256,0.00605902960523963,0.000702983234077692,-0.0007887564715929329
2008-02-01,139.58,-0.01260925634045,30,2.0,4.938637913589005,train,4.901291847229004,0.0029674661345779896,4.936161041259766,0.0024767760187387466,0.011287190951406956,0.0006080924067646265,-0.0007562864338979125
2008-02-05,134.13,-0.0080518899575038,34,4.0,4.898809478913999,train,4.936789512634277,0.0016550264554098248,4.896708011627197,0.0021011661738157272,0.021777231246232986,0.0005029515014030039,-0.0007371457759290934
2008-02-11,133.75,0.0092710280373833,40,6.0,4.8959723857761155,train,4.897650718688965,0.001147724804468453,4.894798755645752,0.0011733955470845103,0.032257191836833954,0.0004438493924681097,-0.0007276564720086753
2008-02-21,134.79,0.0061577268343349,50,10.0,4.903718011750178,train,4.896369934082031,0.000428292085416615,4.903339385986328,0.00037868350045755506,0.05336940661072731,0.0004226927412673831,-0.0007969030411913991
2008-02-22,135.62,0.0126087597699455,51,1.0,4.909856857255696,train,4.903496742248535,0.0003423780726734549,4.909579277038574,0.00027761305682361126,0.00571282347664237,0.00041997843072749674,-0.00047574209747835994
