Date,SP500_Adj_Close,SP500_1_day_return_forward,time_in_days,days_elapsed,log_SP500_Adj_Close,which_split,prior_estimated_log_fair_value,prior_estimated_ou_exponent,posterior_estimated_log_fair_value,posterior_estimated_ou_exponent,prior_variance_log_fair_value,prior_variance_ou_exponent,prior_covariance_log_fair_value_ou_exponent
2012-08-28,141.4,0.0007779349363505,0,,4.951592753462473,train,4.951592753462473,0.0,4.952381610167658,-0.0007888567051850259,-1.0,-1.0,-1.0
2012-08-29,141.51,-0.0072079711681152,1,1.0,4.95237038596428,train,4.952685832977295,-0.0007132267346605659,4.952927112579346,-0.0005570126231759787,0.30449801683425903,0.2446625828742981,-0.13502372801303864
2012-08-30,140.49,0.0047690227062422,2,1.0,4.9451363118635605,train,4.953231334686279,-0.0005036102375015616,4.926750659942627,0.018385732546448708,0.20688799023628235,0.1648697704076767,-0.18236365914344788
2012-08-31,141.16,-0.0009209407764239,3,1.0,4.949893998807069,train,4.9270548820495605,0.016623038798570633,4.9436798095703125,0.00621424987912178,0.12663237750530243,0.09926524758338928,-0.10980239510536194
2012-09-04,141.03,-0.0008508827908956,7,4.0,4.948972633704149,train,4.944897174835205,0.004152471665292978,4.944773197174072,0.004199466668069363,0.10279200226068497,0.03667726740241051,-0.05487266555428505
2012-09-05,140.91,0.0202966432474629,8,1.0,4.948121388707014,train,4.945077419281006,0.0037968517281115055,4.944013595581055,0.004107514396309853,0.030831828713417053,0.020953409373760223,-0.023186521604657173
2012-09-07,144.33,-0.0056814245132683,10,2.0,4.972102344379472,train,4.944622039794922,0.003357670735567808,4.97537899017334,-0.003276908304542303,0.03061762824654579,0.013525041751563549,-0.016557881608605385
2012-09-10,143.51,0.0027872622116926,13,3.0,4.96640471918284,train,4.976291656494141,-0.002421880839392543,4.967681407928467,-0.0012764243874698877,0.02856931835412979,0.007122677750885487,-0.009640789590775967
2012-09-11,143.91,0.0033354179695641,14,1.0,4.9691881041820825,train,4.9679856300354,-0.001154049881733954,4.970613479614258,-0.0014253829140216112,0.012029092758893967,0.0055831908248364925,-0.006186456885188818
2012-09-12,144.39,0.0152365122238382,15,1.0,4.972517971983128,train,4.970917701721191,-0.0012887273915112019,4.974081516265869,-0.0015635406598448753,0.010806539095938206,0.0045838188380002975,-0.005081112962216139
2012-09-13,146.59,0.0044341360256499,16,1.0,4.98763957430194,train,4.974385738372803,-0.0014136395184323192,4.990212917327881,-0.002573144156485796,0.00982932560145855,0.003785000881180167,-0.004197588190436363
2012-09-14,147.24,-0.0033958163542515,17,1.0,4.99206390851082,train,4.9905171394348145,-0.002326449379324913,4.9946465492248535,-0.0025825579650700092,0.009045193903148174,0.0031440153252333403,-0.0034886328503489494
2012-09-17,146.74,-0.000817772931716,20,3.0,4.9886623132858485,train,4.995559215545654,-0.0019087039399892092,4.990357875823975,-0.0016957829939201474,0.018999656662344933,0.0018954252591356635,-0.002568093128502369
2012-09-18,146.62,0.0005456281544127,21,1.0,4.98784420579544,train,4.990662097930908,-0.0015332034090533853,4.98933219909668,-0.0014883856056258082,0.0071595218032598495,0.0016025803051888943,-0.0017837454797700047
2012-09-19,146.7,6.816632583506177e-05,22,1.0,4.9883896851489355,train,4.989636421203613,-0.0013456897577270865,4.9897379875183105,-0.001348688150756061,0.006889071315526962,0.0013815016718581319,-0.001539223943836987
