Date,SP500_Adj_Close,SP500_1_day_return_forward,time_in_days,days_elapsed,log_SP500_Adj_Close,which_split,prior_estimated_log_fair_value,prior_estimated_ou_exponent,posterior_estimated_log_fair_value,posterior_estimated_ou_exponent,prior_variance_log_fair_value,prior_variance_ou_exponent,prior_covariance_log_fair_value_ou_exponent
2008-01-02,144.93,-0.0004829917891395,0,,4.976250867234425,train,4.976250867234425,0.0,4.975463457397067,0.0007874098373576999,-1.0,-1.0,-1.0
2008-01-03,144.86,-0.0245064199917162,1,1.0,4.97576775876718,train,4.975488662719727,0.0007119186338968575,4.975225448608398,0.0005423274706117809,0.30449411273002625,0.244659423828125,-0.13646140694618225
2008-01-07,141.19,-0.0161484524399745,5,4.0,4.950106501021434,train,4.975326061248779,0.00036239292239770293,4.923008441925049,0.027098048478364944,0.22345013916492462,0.09055297076702118,-0.13549858331680298
2008-01-09,140.37,0.0065541070029206,7,2.0,4.944281793546234,train,4.92305850982666,0.022151188924908638,4.921616077423096,0.022665511816740036,0.05416581407189369,0.02926034852862358,-0.03580723702907562
2008-01-10,141.29,-0.0080685115719441,8,1.0,4.950814515777717,train,4.9216413497924805,0.02049250528216362,4.933916091918945,0.016898438334465027,0.03092440590262413,0.02102907933294773,-0.02327021397650242
2008-01-22,130.72,0.0240208078335375,20,12.0,4.873057631111693,train,4.93421745300293,0.0050419773906469345,4.863874435424805,0.009183256886899471,0.0836150050163269,0.0021719569340348244,-0.006700142286717892
2008-01-29,135.91,-0.00735781031565,27,7.0,4.911992901967256,train,4.864050388336182,0.004535272717475891,4.908237457275391,0.0037558272015303373,0.03893841430544853,0.000778092653490603,-0.001439562882296741
2008-01-30,134.91,0.0182343784745386,28,1.0,4.904607889450726,train,4.908262729644775,0.0033957455307245255,4.901095390319824,0.0035123901907354593,0.006059032399207354,0.0007029823027551174,-0.0007887554238550365
2008-02-01,139.58,-0.01260925634045,30,2.0,4.938637913589005,train,4.9011454582214355,0.002871189033612609,4.93626070022583,0.0023770350962877274,0.011287198401987553,0.0006080915336497128,-0.0007562856189906597
2008-02-05,134.13,-0.0080518899575038,34,4.0,4.898809478913999,train,4.936361312866211,0.0015883774030953646,4.896780490875244,0.0020289451349526644,0.02177724614739418,0.0005029510939493775,-0.0007371451938524842
2008-02-11,133.75,0.0092710280373833,40,6.0,4.8959723857761155,train,4.896931171417236,0.001108274795114994,4.894845485687256,0.001127050258219242,0.03225721791386604,0.0004438492760527879,-0.0007276562973856926
2008-02-21,134.79,0.0061577268343349,50,10.0,4.903718011750178,train,4.895096778869629,0.00041137560037896037,4.903365135192871,0.00035252017551101744,0.05336944758892059,0.00042269277037121356,-0.0007969029247760773
2008-02-22,135.62,0.0126087597699455,51,1.0,4.909856857255696,train,4.903390407562256,0.00031872306135483086,4.909604549407959,0.00025255707441829145,0.005712827667593956,0.0004199785180389881,-0.0004757421847898513
2008-02-28,136.87,-0.0222839190472712,57,6.0,4.919031570223175,train,4.909755229949951,0.00013795476115774363,4.918971061706543,6.077466969145462e-05,0.03217628225684166,0.00041970028541982174,-0.0006834461819380522
2008-02-29,133.82,-0.0023912718577192,58,1.0,4.896495613354671,train,4.918996334075928,5.494803190231323e-05,4.8961992263793945,0.0002967424225062132,0.005710290279239416,0.00041790440445765853,-0.0004734481917694211
2008-03-05,133.83,-0.0206979003213032,63,5.0,4.896570337808283,train,4.896324634552002,0.0001792780967662111,4.89639139175415,0.000178692935151048,0.026881396770477295,0.0004189143073745072,-0.0006484885234385729
2008-03-07,129.71,-0.0131832549533575,65,2.0,4.865301189352582,train,4.896441459655762,0.00014607181947212666,4.8648362159729,0.0004649063921533525,0.011002522893249989,0.00041786610381677747,-0.0005235785502009094
2008-03-10,128.0,0.0359374999999999,68,3.0,4.852030263919617,train,4.8649115562438965,0.0003436007536947727,4.851558208465576,0.0004719355492852628,0.016295241191983223,0.0004181720141787082,-0.0005693082348443568
2008-03-11,132.6,-0.0093514328808445,69,1.0,4.887337077751762,train,4.851583480834961,0.0004266897449269891,4.887288570404053,4.843619535677135e-05,0.005709522869437933,0.0004172771004959941,-0.00047275435645133257
2008-03-18,133.63,-0.0247698870014219,76,7.0,4.89507478679297,train,4.88746452331543,2.3920854800962843e-05,4.895112037658691,-3.7153949961066246e-05,0.03746640682220459,0.0004190678591839969,-0.0007125907577574253
2008-03-27,132.78,-0.0095646934779335,85,9.0,4.888693623291013,train,4.89533805847168,-1.4999291124695446e-05,4.888659954071045,3.386392199900001e-05,0.04805206134915352,0.00041932662134058774,-0.0007653087377548218
2008-04-02,136.7,0.0024871982443306,91,6.0,4.917788743729904,train,4.888810634613037,1.8497559722163714e-05,4.918014049530029,-0.00022548464767169207,0.03217368200421333,0.0004189239698462188,-0.000682024925481528
2008-04-07,136.96,-0.0010221962616823,96,5.0,4.919688912393432,train,4.918139457702637,-0.00013622743426822126,4.919839859008789,-0.00015109989908523858,0.026880795136094093,0.00041869471897371113,-0.0006481250748038292
2008-04-16,136.85,0.0014614541468762,105,9.0,4.918885435486688,train,4.920065879821777,-6.100000973674469e-05,4.918938159942627,-5.2747967856703326e-05,0.04805202782154083,0.0004193210043013096,-0.0007652948843315244
2008-04-22,137.94,-0.0015948963317384,111,6.0,4.926818808003145,train,4.919088840484619,-2.881263026210945e-05,4.926912784576416,-9.417874389328063e-05,0.032173674553632736,0.00041892234003171325,-0.0006820219568908215
2008-04-23,137.72,0.0043566656985187,112,1.0,4.925222638470323,train,4.926938056945801,-8.514956425642595e-05,4.925290584564209,-6.769860920030624e-05,0.00570952333509922,0.00041727739153429866,-0.00047275464748963714
2008-04-24,138.32,0.0092539039907462,113,1.0,4.929569841375035,train,4.925315856933594,-6.120814941823483e-05,4.9296770095825195,-0.0001074071551556699,0.0057095009833574295,0.00041725911432877183,-0.00047273444943130016
2008-04-25,139.6,0.0002148997134669,114,1.0,4.938781190328272,train,4.929702281951904,-9.710972517495975e-05,4.938976764678955,-0.0001953556202352047,0.0057094828225672245,0.0004172442713752389,-0.0004727179475594312
2008-05-05,140.83,0.0086629269331819,124,10.0,4.947553489209959,train,4.939228057861328,-7.130519225029275e-05,4.947684288024902,-0.00013059732737019658,0.05334482714533806,0.0004194125940557569,-0.0007879161857999861
2008-05-06,142.05,-0.017810630059838,125,1.0,4.956179108300197,train,4.947709560394287,-0.00011807659029727802,4.956389427185059,-0.00021004353766329587,0.0057096281088888645,0.0004173630732111633,-0.00047284940956160426
2008-05-07,139.52,-0.0025802752293578,126,1.0,4.938207960160669,train,4.956414699554443,-0.0001899060735013336,4.938204765319824,3.0231167329475284e-06,0.005709586665034294,0.000417328963521868,-0.00047281169099733233
2008-05-08,139.16,-0.0018683529749927,127,1.0,4.935624350283741,train,4.938230037689209,2.7332819172443124e-06,4.935593128204346,3.066731005674228e-05,0.005709552206099033,0.00041730119846761227,-0.0004727809864562005
2008-05-12,140.46,0.0001423892923251,131,4.0,4.944922750730875,train,4.935693740844727,2.0492445401032455e-05,4.944987773895264,-6.46748740109615e-05,0.021587977185845375,0.00041843950748443604,-0.0006106721702963114
2008-05-16,142.66,0.0027337726061966,135,4.0,4.960464176849892,train,4.9450883865356445,-4.32169072155375e-05,4.9606499671936035,-0.00018581356562208384,0.021587932482361794,0.00041841919301077724,-0.0006106417858973145
2008-05-21,139.49,0.0001433794537242,140,5.0,4.937992914104144,train,4.960775375366211,-0.0001122599933296442,4.937905311584473,8.774944581091404e-05,0.02688072994351387,0.00041867067920975387,-0.0006480853771790862
2008-05-23,137.64,0.0074106364428945,142,2.0,4.924641580929279,train,4.937955379486084,7.173042831709608e-05,4.924433708190918,0.0002080922422464937,0.011002281680703163,0.00041770515963435173,-0.0005233816918917
2008-05-27,138.66,0.0046156065195444,146,4.0,4.9320248935143445,train,4.924534320831299,0.0001390509569318965,4.9319539070129395,7.106700650183484e-05,0.021587898954749107,0.00041840443736873567,-0.0006106196669861674
2008-05-29,140.0,0.0024999999999999,148,2.0,4.941642422609304,train,4.932003974914551,5.809343565488234e-05,4.941681861877441,-3.950082464143634e-05,0.011002262122929096,0.0004176919464953244,-0.0005233655101619661
2008-06-02,138.9,-0.0058315334773217,152,4.0,4.933754249760298,train,4.941782474517822,-2.639515878399834e-05,4.933706760406494,4.7602487029507756e-05,0.021587885916233063,0.00041839858749881387,-0.0006106109358370304
2008-06-04,138.02,0.0199971018692941,154,2.0,4.927398602192456,train,4.9337568283081055,3.89124579669442e-05,4.9272942543029785,0.00010408162779640406,0.011002256534993649,0.0004176881047897041,-0.0005233607953414321
2008-06-05,140.78,-0.0318937349055263,155,1.0,4.947198388179985,train,4.927319526672363,9.410303027834743e-05,4.9473161697387695,-0.00011770745913963765,0.005709429271519184,0.00041720044100657105,-0.0004726695187855512
2008-06-09,136.62,-0.0049773093251355,159,4.0,4.917203349303703,train,4.94741678237915,-7.865422958275303e-05,4.917003631591797,0.00020001694792881608,0.021587876603007317,0.00041839462937787175,-0.0006106049986556172
2008-06-13,136.15,0.0005875872199778,163,4.0,4.913757219119769,train,4.917104244232178,0.00013365490303840488,4.9135918617248535,0.00016584069817326963,0.021587887778878212,0.00041839934419840574,-0.0006106120417825878
2008-06-20,131.58,-0.0009879920960633,170,7.0,4.879615031657852,train,4.9137678146362305,8.190262451535091e-05,4.8792572021484375,0.00035749663948081434,0.037466343492269516,0.00041905289981514215,-0.0007125604897737503
2008-06-24,131.19,0.004725969967223,174,4.0,4.876646654092939,train,4.879357814788818,0.0002388856519246474,4.876380443572998,0.00026617024559527636,0.021587960422039032,0.0004184319404885173,-0.0006106608198024333
2008-07-01,128.38,-0.0171366256426234,181,7.0,4.854994615883632,train,4.876556396484375,0.00013145169941708446,4.85468864440918,0.0003060883900616318,0.0374663770198822,0.00041906075784936547,-0.0007125764386728406
2008-07-02,126.18,0.0010302742114438,182,1.0,4.837709458942664,train,4.8547139167785645,0.00027674282318912446,4.837247848510742,0.00046177254989743233,0.005709515418857336,0.0004172709886915982,-0.0004727475461550057
2008-07-07,125.02,0.0177571588545832,187,5.0,4.828473724503667,train,4.83737325668335,0.0002789816935546696,4.828113555908203,0.00035996362566947937,0.026880765333771706,0.0004186836595181376,-0.0006481067975983024
2008-07-09,124.79,0.0040868659347703,189,2.0,4.826632324519763,train,4.8281636238098145,0.00029425081447698176,4.826319694519043,0.00031284659053198993,0.011002294719219208,0.0004177137743681669,-0.0005233921692706645
2008-07-14,122.72,-0.0140971316818774,194,5.0,4.809905337618946,train,4.82644510269165,0.00018900749273598194,4.809568881988525,0.00033659389009699225,0.026880724355578423,0.00041866907849907875,-0.0006480826996266842
2008-07-23,128.17,-0.0207536865101036,203,9.0,4.853357507741732,train,4.809794902801514,0.00013588514411821961,4.853541374206543,-0.00018418161198496819,0.04805200174450874,0.0004193169006612152,-0.0007652846397832036
2008-07-29,126.28,0.017817548305353,209,6.0,4.838501663689791,train,4.853692054748535,-0.00010060589556815103,4.838474750518799,2.652631519595161e-05,0.03217367082834244,0.00041892111767083406,-0.0006820197449997067
2008-07-31,126.83,-0.0052826618307971,211,2.0,4.842847607079338,train,4.83852481842041,2.1683828890672885e-05,4.842870235443115,-2.21414757106686e-05,0.01100233942270279,0.0004177438677288592,-0.0005234290147200227
2008-08-01,126.16,-0.0092739378566899,212,1.0,4.837550942654783,train,4.8428955078125,-2.0018709619762376e-05,4.8375139236450195,3.698704676935449e-05,0.005709484685212374,0.00041724578477442265,-0.00047271972289308906
